sentence,emotion
Karanlık.,fear
Hediye açmak.,happiness
Biri bana yalan söylerse öfkelenirim.,anger
"""TEOG"" da bir soruyu yanlış işaretlediğimi anlayınca üzüldüm.",sadness
Yanıma yaklaşan bir köpek gördüğümde çok korkarım.,fear
Sevdiğim birisini kaybetmek.,sadness
Berkay yanlışlıkla bana vurunca tepem attı.,anger
Yerlere tüküren insanlardan.,disgust
Yalan söyleyen insanlar genelde beni tiksindiriyor.,disgust
evde tek başıma kaldığımda korkuyorum.,fear
Dalga geçildiği zaman.,anger
Köye gittiğim zamanlar.,happiness
Dedemin doğum günü sürprizi ve hediyesi.,happiness
Kötü kokular.,disgust
Yaylada piknik yaparken bir silah sesi duyduğumuzda çok korkmuştum.,fear
Dayım sigara içtiğinde tiksinirim.,disgust
Film ayrıca En İyi Film ödülünü kazanan ilk romantik komedi filmi oldu .,neutral
Emre Plak etiketi ile raflardaki yerini almıştır .,neutral
Babası İlya Brejnev metalurji fabrikasında işçi olarak çalışmaktaydı .,neutral
Korku filmi izlerken.,fear
annem ve babam boşandığında üzülmüştüm.,sadness
babaannemi kaybedince çok üzüldüm.,sadness
Haksız yere bir insana kızdığım zaman.,sadness
"Bu göller çölün Moğolca adı olan ""gizemli göller"" olarak adlandırılmaktadır .",neutral
Yemeğin içine maydanoz koyması ve yapmak istemediğim şeyleri yapmaya zorlandığımda.,anger
Bilgisayar oyununda yenilince üzülüyorum.,sadness
Sıramın üzerinde örümcek gördüğümde çok korktum.,fear
İnsanlar benim adıma karar verdiğinde.,anger
Bazen kendime öfkelenirim.,anger
Ölüm anında çaresiz kalmak.,fear
Annem ve babam boşandıkları zaman çok üzüldüm.,sadness
Bisikletten düştüğümde.,fear
Midye yerken.,disgust
matematikten on aldığımda çok üzüldüm.,sadness
Fuardaki korku tünelinden.,fear
savaş çıkacak diye korkuyorum.,fear
Arkadaşlarımın beni atlatarak gruptan ayırmasına üzülürüm.,sadness
Verdiğim parti çok güzel geçti mutlu oldum.,happiness
kızım üniversite sınavını kazanınca çok sevindim,happiness
Kabus gördüğüm zaman.,fear
Resmi olarak bu iki köy bir köy olarak sayılmaktadır .,neutral
Sevdiğim birisini kaybetmek çok üzer.,sadness
Kusmuk görmek.,disgust
arkadaşlarım beni dışladığı zaman,sadness
İstediğim bir hediyenin alınması.,happiness
Önemsediğim bir kişinin yalan söylemesi ve çok çabaladığım halde başarısız olmak.,sadness
Sokakta yürürken arkamda beni takip eden erkek beni çok korkuttu.,fear
Psikolojik rahatsızlığı olan bir sapığın eline düşmekten korkarım.,fear
Fizik notlarının açıklanması.,fear
"Sözcük eylem halinde ""mangal yapmak"" veya bazı yörelerde ""mangal yakmak"" şeklinde kullanılır .",neutral
Böceklerden.,fear
eşyalarım izinsiz kullanıldığında çok sinirleniyorum.,anger
"Lise birinci sınıfta izlediğim ""Garez"" filminden korktum.",fear
Anne ve babamın öldüğü düşüncesi.,sadness
Dedemin ölümüne üzüldüm.,sadness
Öğretmenimin katılmak istediğim yarışmaya beni istememesine kızdım.,anger
Hiç bir zaman yapmam deyip sonra yapan insanlardan.,anger
evde tek başımayken korku filmi seyrettiğimde.,fear
babam boş yere bana bağırdığında üzülmüştüm,sadness
"Kardeşimin doğduğu, ağabey olduğum gün.",happiness
Sap olmak.,sadness
Yüzü gülen aile fertleri,happiness
Telefonum bozuldu.,sadness
evde tek kaldığımda ve elektrikler de kesilince çok ürkmüştüm.,fear
Hemen hemen her eyalet en az bir vaka bildirmiştir .,neutral
Maç kazanınca mutlu olurum.,happiness
Bilgisayarımın bozulması.,sadness
Irkçı düşünceli insanlardan ve sandaletin içine çorap giyenlerden.,anger
Sırtında ayrıca bazen farklı şekillerde kahverengi gölgeler vardır .,neutral
Düşük not alınca.,sadness
Pis tuvalet gördüğümde.,disgust
Birisi yemek yerken ağzını şapırdatınca.,disgust
Annem bana tablet alınca mutlu oldum.,happiness
Gece kabus görürken uyandığımda korkarım.,fear
Sınavdan yüksek not aldığım zaman.,happiness
Köpeklerin kavga etmesi.,fear
Sevdiğim birisini kaybedersem üzülürüm.,sadness
Disipline gittiğim zaman korktum.,fear
Birisinin eşyalarımı izinsiz kullanmasından hoşlanmıyorum.,anger
Birinin benim arkamdan konuşmasına.,anger
Yanlış bir şey söylediğim zaman.,sadness
oğlum doğduğunda çok mutlu oldum,happiness
Bisiklet sürmeyi öğrendiğimde havalara uçtum,happiness
Bu yüzden insanlar bu vitamini dışarıdan almak zorundadır .,neutral
Silahın üzerinde atış kabiliyetini üstün kılan unsurlar bulunmaktadır .,neutral
"bir çocukla radyo programında dalga geçmiştim, beni savcılığa vereceğini söyleyince korkudan altıma ettim.",fear
misafir gelince sifonu çekmemişti,disgust
"yerlerdeki saç, toz  ve kapı kollarına dokunmaktan nefret ediyorum",disgust
Evde deprem anında ölüm korkusu yaşadım.,fear
Sokaklardaki aç ve evsiz hayvanlara.,sadness
Mide bulandırıcı durumlardan tiksinirim.,disgust
"""Lol"" adlı oyunda seriden düştüğümde üzüldüm.",sadness
Erkeklerin tuvaletten çıktıktan sonra ellerini birbirlerine sürtmesi.,disgust
İzlediğim korku filminin etkisinden 1 yıldır çıkamadım.,fear
Arkadaşlarımla akşam dışarıda dolaşırken aniden önümüze köpek çıktığı zaman.,fear
Evimde olduğum zaman mutluyum,happiness
Yumurtadan.,disgust
Çalıştığım kişilerin bitmez tükenmez istekleri beni sinirlendiriyor.,anger
Bazal zar ait olduğu hücreler tarafından sentezlenir .,neutral
Değer verdiğim birisinin beni anlamaması.,sadness
arkadaşımın saçları masama düşünce çok sinirlenirim.,anger
Çatışmalar sonucunda Azerbaycan kesin olarak askeri ve diplomatik zafer elde etmiştir .,neutral
Arkamdan konuşulması.,anger
Birisinin karşımda ayaklarıyla oynamasından tiksinirim.,disgust
Benim için değerli olan insanlarla vakit geçirdiğimde.,happiness
Korku filmlerinden korkarım.,fear
En yakın dostum sırrımı bir başkasına anlatmıştı.,anger
Birisi ile kavga ettiğimde.,sadness
Ağzını aça aça yemek yiyenlerden nefret ediyorum.,disgust
arabayla kaza yapacağımızı sandığım an.,fear
İnsani duyguların körelmesine üzülüyorum.,sadness
Kusmuk görmek.,disgust
İnsanların beni yanlış anlaması.,sadness
Dişçiye gittiğimde heyecandan korkmuştum.,fear
"Dayımın ""lotoyu"" kazanması.",happiness
gece uyurken deprem olmasından ve göçük altında kalmaktan çok korkuyorum,fear
Aile fertlerinden birinin ölümü içimi çok acıttı.,sadness
Yemekten yabancı cisim çıktığında tiksinirim.,disgust
Çöp kokularından.,disgust
Kardeşim düşüp dili yarıldığı zaman.,fear
Anahtarlarımı içeride unuttuğumu fark ettiğim zaman.,fear
Yurt dışındaki göçmen Türk işçiler ve kadın sorunları konularıyla ağırlıklı olarak ilgilendi .,neutral
Ama heel olan bu gruba katılmayı Bayley reddeder .,neutral
Sigara içen birisiyle aynı ortamda bulunmak tiksindiriyor.,disgust
Sınava girerken korkarım.,fear
dişçiye her gittiğimde ödüm patlar,fear
Geçmişi çok eski dönemlere dayanan Edremit isminin kaynağı bilinmemektedir .,neutral
pis kullanılmış eşyalar,disgust
Ailem ve sevdiklerimle birlikte vakit geçirdiğim zaman mutlu olurum.,happiness
Haksızlık yapılması.,anger
iş yapmaktan tiksiniyorum,disgust
Beklentilerim karşılandığında mutlu olurum.,happiness
Ailemi kaybetmekten hep korkarım.,fear
sınavdan kötü not aldığım için üzüldüm,sadness
Milli maç kazanınca tüm spor dallarında çok mutlu oluyorum.,happiness
Sevmediğim insanlarla bir arada bulunduğumda tiksinirim.,disgust
Bu yolculukta Fakir Baykurt kendisine saz çalıp türkü söylemiştir .,neutral
Sınavdan yüksek not almak.,happiness
Yola tükürmek ya da izmarit atmak pek hoş değil sanki.,disgust
gece evde yalnızken elektrikler kesildiğinde karanlıktan çok korktum. Hayatımın sonuna kadar böyle hisler içinde olmaktan korkuyorum.,fear
kardeşimin saygısız bir şekilde odama gelip dağıtması,anger
bazı insanların yemek yerken değişik sesler çıkarması beni çok fazla rahatsız ediyor.,disgust
Arkadaşlarımla gittiğimiz bir eğlence yerinde çok güzel eğlendik ben de mutlu oldum.,happiness
Düşük not.,sadness
Çocuklarımın başarıları beni mutlu eder,happiness
Ağzını şapırdatarak yemek yiyenlerden tiksinirim.,disgust
Çok uğraştığım halde kaybetmek üzüyor.,sadness
Korku filmi izlerken ve ülkenin geleceğini düşündüğüm zaman.,fear
1 yıldır baktığım muhabbet kuşum öldüğünde gerçekten çok üzüldüm.,sadness
ilk defa korku filmi izlediğimde donuma yapacaktım.,fear
Değer verdiğim insanlarla kavga etmekten.,sadness
Pastırma kokusu.,disgust
Evlendiğimde ve bebeğimi doğurduğumda çok mutlu oldum,happiness
Bu nasıl kusmuk arkadaş,disgust
Elektrik Elektronik bölümünü tutturduğumda.,happiness
Sevmediğim bir insana dokunduğum zaman.,disgust
Fakat herhangi bir delil çıkmadığı için tekrar görevlendirilmiştir .,neutral
korku filmlerinden her zaman içime bir ürperti vermiştir.,fear
En yakın arkadaşımın annesinin kanserden ölmesi.,sadness
Kavram olarak özellikle politika ve sosyoloji alanlarında tartışmalara yol açmıştır .,neutral
Katılacağım bir organizasyonun bildiğim saatten erken başlaması.,anger
İngilizce sınavından düşük not aldığım zaman.,sadness
Evde yalnız kalmaktan korkarım.,fear
nedensiz yere haksızlığa uğradığımda çok öfkelenirim.,anger
Öğretmen olarak atandığımı bilgisayar ekranında gördüğümde çok sevinmiştim.,happiness
Eğlendiğim zaman.,happiness
Dört yaşında geçirdiği menenjit hastalığı onu ergenlik dönemine kadar takip eder .,neutral
birisinin ayakkabı kokusunu duyunca midem bulanır,disgust
Korku filmleri.,fear
Çok çalıştığım ve yüksek beklediğim bir sınavdan düşük not alınca üzülürüm.,sadness
Çiftin Maria Ann ve Peter Conrad isimli iki çocuğu oldu .,neutral
Bana söz verilip tutulmadığında.,anger
Kardeşim telefonumu kırdığında.,anger
ördeğim kesilmişti. çok üzülmüştüm.,sadness
Kuzenime neredeyse araba çarpıyordu ama ben onu son anda tuttum. O zaman çok korkmuştum.,fear
El şakaları.,anger
"insanlar söz verip tutmadıkları zaman öfkelenirim.
      Hayatımda verdiğim kararlara müdahale edilmesine çok sinirlenirim.
      Bazen kendi fikrimde olmayan insanlara da sinirlendiğim oluyor.",anger
Yere tükürüldüğü zaman.,disgust
korkacak bir şeyimin olmamasından korkuyorum.,fear
Sınavlar.,fear
Bir toplulukta  insanların gruplara ayrılması ve diğer insanları dışlaması.,anger
başkalarının özgürlüklerine ya da özürlerine saygı göstermeyenlere çok kızıyorum.,anger
İnsanların konuşurken ağzından çıkan tükürük ve pis birinin sarılması.,disgust
İnsanların benim yaptığım bir şeyi kendileri yapmış gibi göstermesi.,anger
Sen daha küçüksün deyip fikirlerim önemsenmediği zaman.,anger
Düşük beklediğim sınavdan yüksek not almak.,happiness
Toplum içinde sıra beklerken önüme geçmesi.,anger
İnsanların salakça sözlerinden tiksinirim.,disgust
Yemek yediğim zaman.,happiness
Kolum kırıldığında yüzme takımından ayrılmak zorunda kaldım.,sadness
Ortaköy bu iki köyün arasında kaldığı için bu adı almıştır .,neutral
Böcek gördüğümde tiksinirim.,disgust
Çikolata yediğim zaman.,happiness
Sevdiğim kişiyi kaybetmek.,sadness
Turnuvada elemelerden katılan rakibine ilk turda boyun eğdi .,neutral
küçükken büyük bir alışveriş merkezinde annemlerden ayrıldıktan sonra onları bulamadığım için altıma etmiştim.,fear
toplu taşıma araçlarında herkesin tutunduğu yerleri tutmaktan çok tiksiniyorum.,disgust
Değer verdiğim bir şeyin yok olması.,sadness
Ailemden birisini kaybetmek.,sadness
Korku filmi izledikten sonra elektriklerin kesilmesi.,fear
ölmüş bir insanın aniden karşıma çıkması,fear
Ailemle güzel bir yere gittiğimizde.,happiness
İzmir fen lisesini kazanamayınca üzüldüm.,sadness
biri sigara dumanını yüzüme doğru üflediğinde ondan tiksinirim,disgust
2 yıl işsiz kaldıktan sonra yaptığım iş görüşmesine kabul edilince çok mutlu oldum.,happiness
Hedefime ulaştığım an.,happiness
köpeğim çalındığında çok üzülmüştüm hatta ağlamıştım,sadness
Arkadaşlarla biz tatildeyken evde kalan kızlar bütün pencereleri açık bıraktığı için evimize kedi girmiş. Tatil bitiminde eve geldik. Kedi evde uzun süre yaşamış ve bu beni tiksindiren bir olaydı.,disgust
Sokakta apışıyla oynayan erkek,disgust
tıp fakültesini kazanınca çok sevindim.,happiness
Çok sevdiğim birisine ya da canlıya zarar verildiği zaman.,sadness
yolda yürürken bazı insanların tuhaf sesler çıkararak yere tükürmesinden iğreniyorum.,disgust
Bu binadaki odalar genellikle üçüncü ve dördüncü yıl lisans öğrencilerine ayrılır .,neutral
Soda şişesinin patlamasından korkarım.,fear
Sabah bineceğim metronun devrilmesi.,fear
Çıkarı için yalakalık yapanlardan.,anger
"""Londra'ya"" gitmeyi çok istiyordum, sonunda bu sene okul gezisi sebebiyle gideceğim.",happiness
Pokemon dizisinde Pikachu-Ash ayrılığında ağlamıştım. Kimseye söylemedim ama gözümden süzülen yaşlara engel olamadım.,sadness
Öğrenilmemesi gereken sırlarımın ortaya çıkmasından.,fear
Galatasaray Gençlerbirliği maçında stancu 'nun 90. dakikasında kaçırdığı pozisyonunda çok korkmuştum.,fear
Annem benim başıma bir şeyler gelecek diye çok korktu.,fear
Hafta sonu.,happiness
Düşük not aldığımda.,sadness
Filmde sevdiğim karakterlerin ölümüne üzülürüm.,sadness
En yakın arkadaşımın Bursa ya taşınması.,sadness
Yarışmanın galibi özel altın heykel ödülünün sahibi olur .,neutral
Takip edildiğim gün.,fear
Benim taklidimin abartılı şekilde yapılması çok öfkelendirir beni.,anger
İğrenç şeylerden (Kusmuk ) tiksinirim.,disgust
Kötü ve empati yoksunu insanlara.,anger
yakın arkadaşlarım benimle dalga geçince kızarım,anger
yurtta başka bir odaya girdiğimde kötü kokunca,disgust
ödünç verdiğim eşyanın kaybolması beni öfkelendir,anger
Kusmuk gördüğüm zaman.,disgust
İnsanların ikiyüzlülüğünden gına geldi.,anger
büyük dedemin ölüm haberini aldığımda gerçek anlamda üzülmüştüm.,sadness
"""Göztepe"" takımını tutuyorum takımımın kötülenmesine öfkeleniyorum.",anger
Koyunun da yetiştirildiği ilçede hayvancılık büyük gelir sağlamaktadır .,neutral
Bir yere yetişemediğim zaman öfkeleniyorum.,anger
İstanbul Yıldız Teknik Okulu Makine Mühendisliği Bölümü mezunudur .,neutral
Bamyadan.,disgust
Parmakların kütletilmesinden tiksinirim.,disgust
Başarısız olduğum zaman.,sadness
Arkadaşımın yıkanmaması.,disgust
İldeki Türk toplulukları türlü kuruluşlar vasıtası ile çalışmalar yapmaktadırlar .,neutral
Yemeğimden saç çıktığı zaman.,disgust
Ancak erken gelişen tüm kuşlar yuvayı terk etmez .,neutral
Ter kokan insanlar.,disgust
Aç olduğum zamanlar.,anger
ÜNİVERSİTEYİ KAZANDIĞIMDA,happiness
Arkadaşlarım ile birlikteyken.,happiness
Yediğim bir yemeğin temiz olmaması.,disgust
Geçen yıl yakın bir arkadaşıma sürpriz doğum günü partisi hazırlamıştım ve çok mutlu olmuştu. Onun mutlu olması beni de mutlu etti.,happiness
İnternetin kesilmesi.,sadness
Sümük.,disgust
İnsanların ya da hayvanların çaresiz durumlarda olmasına üzülüyorum,sadness
Birisiyle tartışırken kendimi ifade edememek.,anger
Kötü  hitap edilmek.,anger
Arkadaşlarla mangal yaptığımız gün.,happiness
Bir yakınımızı kaybettiğimde çok üzülmüştüm.,sadness
inli cinli filmler izlerken korkuyorum.,fear
Arkadaşım tayin nedeniyle Antalya'ya gitmişti.,sadness
En yakın arkadaşım başka bir liseyi kazandığında.,sadness
Sevdiklerimle vedalaşmam gerektiğinde.,sadness
Genelde hep mutluyum.,happiness
Demokrasi dersine girdiğimde ve yurt dışına çıktığımda mutlu olurum.,happiness
Uyandığımda güneşi görmek beni mutlu ediyor.,happiness
Egoist insanlar.,anger
Yumurta kokusundan.,disgust
Ev arkadaşım evi dağınık ve pis bıraktığı zaman.,anger
Yemeğimden yenmesi.,disgust
Haksızlık yapılması.,anger
Sınav notlarımın iyi gelmesi.,happiness
Çalışmalarımın karşılığını aldığımda ve birilerine yardım edebildiğimde.,happiness
Haksızlık yapanlara.,anger
havuza kusulması,disgust
Bir insanın kustuğunu görmek.,disgust
Sevmediğim bir kişiden duyduğum en ufacık olumsuz bir kelime bile öfkelenmeme yeter.,anger
Sibel isminde bir kızları ve Kenan isminde bir oğulları vardır .,neutral
Ortalamam 90'ı geçmeyecek diye korkuyorum.,fear
Annem üstüme geldiği zaman.,anger
Aynada kendimden iki tane görünce korktum.,fear
Kaybolmuştum.,fear
Bir tane mi anlatayım sadece yoksa hayatımı mı? Bence bir özet geçeyim. Sadece kürt olduğum için sürekli aşağılanmak gerçekten öfkelendirici bir sebep.,anger
Düşük not aldığımda.,sadness
Düşük not almak.,sadness
evcil hayvanım öldüğünde kahroldum.,sadness
sınava hazırlık yapamadan girmekten ödüm kopar,fear
Kusmuk görmek ve ortak tabaktan yemek yemek.,disgust
bir insanı yalan söylerken yakaladığımda midem bulandı,disgust
Kimyadan 100 almam.,happiness
Ailemden birisini kaybetmekten.,fear
Toplum içinde konuşma yaparken.,fear
Arkadaşlarım bana sürpriz doğum günü yaptığında çok sevinmiştim.,happiness
Kadına ve hayvana şiddet.,anger
Tükürük.,disgust
Kabuklu bir böcek ya da kırkayak ezdiğimde.,disgust
tuvaleti iyi kullanmayanlardan çok tiksinirim.,disgust
Annemin çok yakın bir arkadaşını kanserden kaybettiğimiz zaman.,sadness
İstediğim liseyi kazanınca çok mutlu oldum.,happiness
Kocasının öldürülmesinden sonra verdiği üç görüşmeden biri hayat boyunca özel tutuldu .,neutral
"Şarkının personel bilgileri ""Apayrı"" albüm kitapçığından alınmıştır .",neutral
Bu süre içinde öğrencileri birçok dünya rekoru kırmayı başarmıştır .,neutral
Öğretmenlerin sözlülere düşük not vermesi.,anger
Çok çalıştığım sınavın kötü geçmesi.,sadness
Yaya geçidi üzerinde babama araba çarpmak üzereyken ödüm patlamıştı.,fear
Matematik sınavından 85 almıştım.,happiness
İlk anne olduğumda çok mutlu olmuştum.,happiness
Çok emek verdiğim bir işin çöp olması.,sadness
Tabii ki bu silah paketlerini kendine has asker sınıfındaki oyuncular kullanır .,neutral
Evde tek başıma kaldığım zaman.,fear
Bir Kızım olacağını duyduğumda çok sevindim.,happiness
Büyümek ve gelecek korkusu.,fear
Arkadaşlarımın vefat etmesi.,sadness
Kötü kokular.,disgust
Sevgilimin yanında iken mutlu oluyorum.,happiness
Her zamanki günlerden biriydi otobüse binmiştim ancak inerken birde baktım ki cüzdanım çalınmış çok öfkelendim,anger
Daha fazla ayrıntı için Radon ölçüleri hakkındaki makaleye bakın .,neutral
Yakınlık duyduğum birinin yapmasını istemediğim bir şeyi ısrarla yapmalarına öfkelenirim.,anger
Sıfırcı öğretmenler.,anger
Bir yakınımın başına üzücü bir olay gelmesi.,sadness
"Haksızlık, çaresizlik ve aşağılanmak sinirlendirir.",anger
Sinemada istediğim filme bilet bulamayınca çok öfkeleniyorum.,anger
Annem ben küçükken başka bir şehre gitmişti.,sadness
Haşimi ailesinin kıdemli üyesi Faysal devlet başkanı oldu .,neutral
İstemediğim bir şey yapıldığında.,anger
Arkamdan konuşup yüzüme gülen insanlardan.,disgust
Herkes birbirinin yüzüne gülüyor ama arkasından konuşuyor.,anger
bir bayana olumsuz söz söyleyen birini görünce çok sinirleniyorum,anger
Düşük not aldığım zaman.,sadness
Dolayısıyla daima tek sayıda eksi değer olacağından sonuç eksi olacaktır .,neutral
O artık efsanevi Korkusuz Beşli’nin yanında kung fu dünyasına katılmıştır .,neutral
Türklerin kültürlerinden uzaklaşıp yozlaşmalarına öfkeleniyorum.,anger
Kötü bir rüya gördüğümde çok korktum.,fear
Önceki okulumda bana yapılan el şakalarına çok sinirlenmiştim.,anger
Karanlık.,fear
bilgisayarımı alırken kazıklandığımı öğrenince küplere bindim,anger
Bir sarhoşu kusarken görmüştüm.,disgust
İlçe Karadeniz kıyısında olmasına rağmen liman olmaması dolayısı ile deniz yolu kullanılmamaktadır .,neutral
Aynı zamanda Rusya Birlik Partisinin önemli liderlerinden biri haline geldi .,neutral
Eşimle ve ailemle yaptığım aktiviteler beni mutlu ediyor.,happiness
Birisinin fiziksel özelliklerimle dalga geçmesine öfkelenirim.,anger
Mayıs ayında yapımcılar tarafından sahneye çıkış sıraları belirlenmiştir .,neutral
Sevdiğim insanlarla vakit geçirdiğimde.,happiness
Babamın işten çıkarılmasına.,sadness
Özel hayatımla ilgili bilgisizce eleştiri yapılmasından tiksinirim.,disgust
Kusan birisini gördüğümde.,disgust
Arkadaşlarımdan aldığım kötü kokulardan tiksiniyorum.,disgust
ben sekiz yaşındayken ablam dört günlük geziye gittiğinde ablamdan ilk defa bu kadar uzun bir süre ayrı kaldığım için üzülmüştüm.,sadness
Ankara Üniversitesi Hukuk Fakültesini bitirmiş ve bir süre savcı yardımcılığı yapmıştır .,neutral
Abartan insanlara öfkeleniyorum.,anger
Dedem vefat ettiği zaman.,sadness
Birisinin ellerini yıkamadan yemek yemesi.,disgust
Aynı zamanda Hollanda ve Rusya Liglerinin yayın haklarına sahiptir .,neutral
Yörede oynanan oyunlar zeybek türünün ağır zeybek bölümüne girmektedir .,neutral
Boşanmış bir ailenin çocuğuyum ve babamın boşandıktan sonraki bize ve etrafa karşı olan hal ve hareketlerinden tiksiniyorum.,disgust
oğlumu kucağıma aldığım an hayattaki en büyük mutluluğum.,happiness
gerçekten istediğim bir şey olmadığında üzülürüm,sadness
Her birinin iyi ve kötü yanları vardır .,neutral
Marmaris'te gece arkadaşımla beni bir kamyon takip ettiği zaman çok korkmuştuk.,fear
Arkadaşımla kavga ederken çok öfkelendim.,anger
Ailesinin onu sık sık tiyatroya götürmesi sonucu oyunculuğa büyük ilgi duydu .,neutral
Belirtilen malın mülkiyetini de temsil eder ve belgenin ciro edilmesiyle mal el değiştirir .,neutral
Bu iki bölgeyi ayıran beyaz bir çizgi vardır .,neutral
Babam yemek yerken çok ses çıkartıyor.,disgust
fenerbahçe'nin şampiyon olduğu zaman mutluluktan havalara uçarım.,happiness
Tuşa gitse de yine Almas kıl payı kurtuldu .,neutral
"Merkez ifadesi ile beraber kullanılan ""sol kanat"" sözü ülkelere ve bölgelere özgü farklılıklar gösterebilmektedir .",neutral
İlk birkaç gün İçişleri Bakanlığı görevi boşta kaldı .,neutral
Sınavım kötü geçince ve öğretmen bana ilacını içtin mi dediği zaman.,anger
Yaz tatiline girilmesinden ve tatilde yurt dışındaki arkadaşımın gelmesinden mutlu oluyorum.,happiness
Yeğenim doğduğu zaman mutlu olmuştum.,happiness
yeğenim karşısında kocaman köpeği görünce gözleri yuvalarından fırladı.,fear
Tanıdığım bir kişinin çevresindekilere aldırmadan iğrenç sesler çıkarması.,disgust
Bir sorunum varsa hiçbir şeye konsantre olamam üzüntüden hasta olurum.,sadness
"Kirli tabak veya bardaktan yemek, içmekten rahatsız olurum.",disgust
Kitap okurken ve müzik dinlerken.,happiness
Kuzenim üzerime çişini yapmıştı.,disgust
Böceklerden.,disgust
En yakın arkadaşlarımın bana sırtını dönmesi.,sadness
Şehirler arası yolda sis bastırıp önümü göremediğimde korkmuştum.,fear
Jonathan bu olaydan sonra uzun bir süre gözükmez .,neutral
Dolapta hiç bir yiyecek kalmadığını gördüğümde.,sadness
Hafta sonu eve gittiğim zamanlar.,happiness
Bir köpek cadde boyunca beni kovaladığında çok korkmuştum.,fear
Burnunu karıştıran birisini gördüğüm zaman.,disgust
Kopya çektiğim sınavda hoca yanıma geldi.,fear
"""Kazı kazan'dan"" 200 TL kazandığımda.",happiness
Ayrıca uzun yıllardır var olan küçük bir Yahudi cemaati de var .,neutral
Yalnız kaldığımda korkarım.,fear
Sargent arkadaşına Vickers kız kardeşleri çirkin bulduğunu yazdı .,neutral
Bir insanın ağzını şapırdatması.,disgust
Bekletildiğimde öfkelenirim.,anger
"yeter be, bıktım artık yalanlarından!",anger
Düşük not almak.,sadness
Bazen insanlar bilinçli olarak tek başına kalmayı tercih ederler ve yalnız olmaktan zevk alırlar .,neutral
yanımda kimse yoksa karanlıktan korkarım,fear
Başka bir yerde tuvalete gitmek.,disgust
Başarısız olmak.,sadness
Okul tuvaletlerinden tiksiniyorum.,disgust
Siren seslerinden.,fear
Böcekler.,fear
Sevdiğim erkeğin bir başka kızı sevmesinden.,sadness
sevdiklerimin bir gün yanımda olamayacaklarını düşünmek beni üzüyor,sadness
sorgulandığımda öfkelenirim.,anger
uzun süre görüşmediğim sevdiklerimle birlikte olmak,happiness
karanlıkta ses duymaktan korkarım.,fear
"derslerimde başarılı olamamak, hem de çaba sarf etmeme rağmen.",sadness
Bir arkadaşımın yapma dediğim halde kafama vurması çok öfkelendiriyor.,anger
bilgisayarıma dokunulmasını sevmem,anger
Demir bir eşyayı başka bir demire sürterken çıkan sesten tiksinirim.,disgust
Yemekten kıl çıkması.,disgust
Birisinin beni sevdiğini hissetmek.,happiness
Yolda giderken bir şahsın başka birini taciz etmesinden tiksinirim.,disgust
Burada futbolcuların kendi kültürel değerlerini göz önüne alarak bir futbol metodu kullandı .,neutral
Çevremde vahşi hayvanların olabileceği düşüncesi.,fear
Özellikle yemek hazırlanırken temizlik kurallarına uyulmamasından tiksinirim.,disgust
Matematik sınavından yüksek not almak.,happiness
En ucuz seçenek olarak beton ağırlık temelleri seçilmiştir .,neutral
tatile çıkmak beni mutlu eder,happiness
Hititlerin Kadeş Antlaşması tarihin bilinen ilk yazılı diplomasi belgesidir .,neutral
Yalnızlıktan çok korkuyorum,fear
Kusma.,disgust
Erkek ayağı.,disgust
Maçlarda sakatlanmak.,fear
Sınavdan düşük alınca. Edebiyat dersi yüzünden takdiri 1 puanla kaçırdım.,sadness
Metrodayken altından dumanlar çıkmaya başlamıştı. O zaman çok korkmuştum.,fear
Her iki kadın da peygamber olarak adlandırılmış ve harekete oldukça önemli katkılarda bulunmuşlardır .,neutral
kötü kokulardan tiksiniyorum.,disgust
Pis tuvaletler.,disgust
evde yalnız kalmaktan ve karanlıktan çok korkarım,fear
Senelerdir istediğim telefonuma emeğim karşılığında sahip olduğum an.,happiness
işler planladığım gibi gitmediğinde üzülürüm.,sadness
üniversite sınavını kazandığımda mutlu oldum,happiness
Vahşi bir şekilde öldürülen insanları öğrendiğim zaman bunları yapan canilerden tiksiniyorum.,disgust
ödevimi yetiştiremeyeceğimi anladığımda.,fear
Kolum çatladığında kırıldı sanıp korkmuştum.,fear
Arkadaşım arabayı hızlı kullanınca gözlerimi kapattım.,fear
Kusmuk.,disgust
Umumi tuvaletlerin kirliliğinden tiksiniyorum,disgust
Bu konuda Öğrenci İşleri Dairesi Başkanlığı tarafından hazırlanan kitapçık kayıt sırasında öğrencilere sunulmaktadır .,neutral
Karanlıkta almaktan korkarım.,fear
Kandırıldığım zaman.,anger
Sevdiğim bir insanın ölmesinden ciddi anlamda korkarım.,fear
bir insana yapılan ırkçılık beni tiksindiriyor.,disgust
"Hayatımın en mutlu anıymış , bilmiyordum. İlk kez aşık olduğum andı.",happiness
Sevdiğim dizi yeterli puan almayınca.,sadness
Trafik kazası geçirme korkusu.,fear
Haksızlığa uğramak.,anger
İnsanların aşırı tepkileri ve söylediklerimin ciddiye alınmaması.,anger
Kurtlar Vadisi Pusu dizisinde canlandırdığı Cevat Akarsu karakteri ile tanınmıştır .,neutral
balıkesirspor küme düşünce çok üzüldüm,sadness
Evin tuvaletinde sinek olmasından tiksinirim.,disgust
Giorgi’nin hükümdarlığının ilk yıllarına değin getirdiği çalışmayı tamamladı .,neutral
Telefon almaya gittiğimiz gün.,happiness
